总字数:26954, 共2624个单词
  序号  单词                 次数   万分比   翻译                  
  1329  continued               2        0   接上页                  
  1330  lamps                   2        0                        
  1331  own                     2        0   n. 自己的;a. 自己的,亲的,同胞的;v. 拥有,自认,承认; 
  1332  dozen                   2        0   n. 打,十二个;a. 一打的;     
  1333  cobre                   2        0                        
  1334  blow                    2        0   n. 吹,打击,殴打;v. 吹,风吹;  
  1335  eighty-four             2        0                        
  1336  brisa                   2        0                        
  1337  referees                2        0                        
  1338  week                    2        0   n. 星期,周;             
  1339  paris                   2        0                        
  1340  cat                     2        0   n. 猫,恶妇;n.计算机辅助教育;计算机辅助测试;计算机辅助翻译;计 
  1341  alarm                   2        0   n. 警报,惊慌,警告;v. 使...惊慌,警告,征召入伍; 
  1342  village                 2        0   n. 村壮;               
  1343  factory                 2        0   n. 工厂,代理店;           
  1344  stories                 2        0                        
  1345  fault                   2        0   n. 过错,故障,毛病;         
  1346  played                  2        0                        
  1347  dignity                 2        0   n. 尊严,高贵;            
  1348  oment                   1        0                        
  1349  spilling                1        0                        
  1350  slower                  1        0                        
  1351  smacks                  1        0                        
  1352  shrugged                1        0                        
  1353  begins                  1        0                        
  1354  freshening              1        0                        
  1355  speedboat               1        0   n. 高速游艇;             
  1356  windless                1        0   a. 无风的,平稳的;          
  1357  skillfully              1        0                        
  1358  backwards               1        0   ad. 向后;              
  1359  poems                   1        0                        
  1360  cove                    1        0   n. 山凹, 小(海)湾,拱       
  1361  rounded                 1        0                        
  1362  bubbles                 1        0                        
  1363  sideways                1        0   ad. 向傍边,斜地里,向侧面地;a. 傍边的,向侧面的; 
  1364  mistrusted              1        0                        
  1365  unhooked                1        0                        
  1366  slowing                 1        0                        
  1367  talking                 1        0   a. 说话的,有表情的;vbl. 讲话,谈论,商量; 
  1368  mastery                 1        0   n. 征服,统治权,技巧;        
  1369  result                  1        0   n. 结果,成绩,答案;v. 产生,起于,致使; 
  1370  flecks                  1        0                        
  1371  e                       1        0                        
  1372  bumps                   1        0                        
  1373  h                       1        0                        
  1374  hatuey                  1        0                        
  1375  towed                   1        0                        
  1376  o                       1        0                        
  1377  photograph              1        0   n. 相片;v. 照相,摄影;      
  1378  fifth                   1        0   a. 第五的;              
  1379  charcoal                1        0   n. 木炭;               
  1380  yours                   1        0   pron. 你的,你们的;        
  1381  thy                     1        0   a. 你的;               
  1382  deadly                  1        0   a. 致命的,致死的;ad. 非常地,如死一般地; 
  1383  juices                  1        0                        
  1384  miami                   1        0                        
  1385  skeleton                1        0   n. 骨骼,瘦如柴的人,梗概;a. 概略的,基层的,家庭的秘密; 
  1386  wise                    1        0   a. 明智的,慎虑的,聪明的;      
  1387  myriad                  1        0   n. 万,无数,无数的人或物;a. 无数的,一万的,种种的; 
  1388  tip                     1        0   n. 顶,尖端,小费;v. 装顶端,倾斜,给小费; 
  1389  hueso                   1        0                        
  1390  european                1        0                        
  1391  moisture                1        0   n. 湿气,水分,降雨;         
  1392  lack                    1        0   n. 缺乏,无,不足;v. 缺乏,短少,不足; 
  1393  clouding                1        0   n. 光泽面的暗晦,湿润,不清爽;    
  1394  soles                   1        0                        
  1395  sinking                 1        0   n. 沉没,下沉,低降;         
  1396  aren                    1        0                        
  1397  re-entered              1        0                        
  1398  perico                  1        0                        
  1399  bursting                1        0                        
  1400  concentrations          1        0                        
  1401  harm                    1        0   n. 伤害,害处;v. 伤害,损害;   
  1402  mast-head               1        0                        
  1403  i-ic                    1        0                        
  1404  flown                   1        0   vbl. 飞,飞行;           
  1405  unendingly              1        0                        
  1406  salting                 1        0                        
  1407  spoil                   1        0   n. 战利品,肥差事,奖品;v. 破坏,腐坏; 
  1408  cartilage               1        0   n. 软骨;               
  1409  realized                1        0                        
  1410  pulitzer                1        0                        
  1411  translation             1        0   n. 翻译;               
  1412  cancer                  1        0   n. 癌,毒瘤;             
  1413  handling                1        0   n. 处理;a. 操作的;vbl. 操作; 
  1414  splash                  1        0   n. 飞浅的水,污点,卖弄;v. 溅湿,溅开; 
  1415  hawk-bills              1        0                        
  1416  favorable               1        0   a. 有利的,赞许的,良好的;      
  1417  entire                  1        0   n. 整个;a. 全体的,完全的,全部的; 
  1418  flashes                 1        0                        
  1419  flour                   1        0   n. 面粉,粉沫,碎粉;         
  1420  crisped                 1        0                        
  1421  spoons                  1        0                        
  1422  block                   1        0   n. 街区,木块,石块;v. 阻塞;   
  1423  hate                    1        0   n. 憎恨,恨,厌恶;v. 憎恨,憎恶; 
  1424  rogelio                 1        0                        
  1425  heaved                  1        0                        
  1426  considering             1        0   vbl. 考虑,顾及,认为;prep. 以...看到,考虑到,顾及; 
  1427  distant                 1        0   a. 远的,疏远的;           
  1428  deep-creased            1        0                        
  1429  intelligence            1        0   n. 智力,情报,神;          
  1430  motorboats              1        0                        
  1431  loving                  1        0   a. 亲爱的,锺情的,忠诚的;      
  1432  cords                   1        0                        
  1433  strongly                1        0   ad. 坚固地,坚强地,激烈地;     
  1434  shadows                 1        0                        
  1435  orders                  1        0                        
  1436  bulk                    1        0   n. 大小,体积;            
  1437  champion                1        0   n. 冠军,拥护者;v. 保卫,拥护;  
  1438  wait                    1        0   n. 等候;v. 等候,期待,延缓;   
  1439  doubted                 1        0                        
  1440  pins                    1        0                        
  1441  toe                     1        0   n. 足指,趾部;v. 以趾踏触,用趾尖走; 
  1442  ton                     1        0   n. 吨,货物体积,容积单位;      
  1443  native                  1        0   n. 本地人,土产,土人;a. 本国的,与生俱来的,自然的; 
  1444  remembers               1        0                        
  1445  jagged                  1        0   adj．锯齿状的，不整齐的        
  1446  monday                  1        0                        
  1447  haul                    1        0   n. 用力拖拉,努力的结果;v. 拖,改变方向; 
  1448  half-garland            1        0                        
  1449  convulsively            1        0                        
  1450  stupidity               1        0   n. 愚蠢,糊涂事;           
  1451  sandpaper               1        0   n. 沙纸;               
  1452  confided                1        0                        
  1453  spinal                  1        0   a. 针的,尖刺的,尖刺状突起的;    
  1454  ineffectual             1        0   a. 无效的,无益的,白费的;      
  1455  swamped                 1        0                        
  1456  minor                   1        0   n. 未成年人,副修科目;a. 较小的,二流的,未成年的;v. 辅修; 
  1457  cot                     1        0   n. 简易窄床,小屋,马舍;       
  1458  manner                  1        0   n. 样子,礼貌,风格;         
  1459  ezra                    1        0                        
  1460  upon                    1        0   prep. 在...之上,迫近,紧接著; 
  1461  employed                1        0                        
  1462  perils                  1        0                        
  1463  towel                   1        0   n. 手巾,毛巾;            
  1464  easterly                1        0   a. 东的,向东的,从东的;ad. 向东; 
  1465  hated                   1        0                        
  1466  surge                   1        0   n. 巨涌,汹涌,澎湃;v. 汹涌,澎湃; 
  1467  pardon                  1        0   n. 原谅,赦免;v. 宽恕,原谅;   
  1468  army                    1        0   n. 军队,陆军;            
  1469  condition               1        0   n. 情况,条件;v. 以...为条件,决定,支配; 
  1470  thirsty                 1        0   a. 口渴的,渴望的,干燥的;      
  1471  snow                    1        0   n. 雪,下雪;v. 下雪,似雪般落下,使...雪白; 
  1472  rougher                 1        0                        
  1473  shining                 1        0   a. 光亮的,华丽的;vbl. 闪烁,发亮; 
  1474  october                 1        0                        
  1475  fair-weather            1        0                        
  1476  fruit                   1        0   n. 水果,果类,结果;         
  1477  perkins                 1        0                        
  1478  imperceptible           1        0   a. 不能感知的,不知不觉的,微细的;  
  1479  wound                   1        0   n. 创伤,伤害,苦痛;v. 伤害,损害,上发条;vbl. 缠绕,蜿蜒 
  1480  pedro                   1        0                        
  1481  under-side              1        0                        
  1482  saddest                 1        0   a. 悲哀的,可怜的;          
  1483  direction               1        0   n. 方向,指导;            
  1484  sucking                 1        0   a. 吸奶的,授乳的,尚未断奶的;    
  1485  burn                    1        0   v. 刮胡子;              
  1486  wounded                 1        0   adj. 受伤的             
  1487  congregated             1        0                        
  1488  accord                  1        0   n. 一致,调和,协定;v. 一致,给与; 
  1489  distinguished           1        0   a. 卓著的;v. 区别;vbl. 区别; 
  1490  rows                    1        0                        
  1491  burning                 1        0   a. 燃的,烧的,像燃烧一样的;n. 烧,燃烧; 
  1492  obey                    1        0                        
  1493  slitted                 1        0                        
  1494  traveled                1        0   a. 见面广的; 旅客多的        
  1495  walk                    1        0   n. 散步,步行;v. 走路;      
  1496  gotten                  1        0   vbl. 得到,回到;          
  1497  eels                    1        0                        
  1498  supply                  1        0   n. 补给,供给;v. 补给,供给;   
  1499  leg                     1        0   n. 腿,胫,路程;v. 走,跑;    
  1500  lesser                  1        0   a. 较少的,较小的,次要的;      
  1501  thinks                  1        0                        
  1502  ligas                   1        0                        
  1503  campeon                 1        0                        
  1504  pace                    1        0   n. 速度,步调,步法;v. 踱步,缓慢的走,引导; 
  1505  disgraceful             1        0   a. 可耻的,不名誉的;         
  1506  unnecessarily           1        0   ad. 不必要地             
  1507  gertrude                1        0                        
  1508  recognize               1        0   v. 认出,认可,承认;         
  1509  thinly                  1        0   ad. 薄,细,瘦;           
  1510  cup                     1        0   n. 杯子,茶杯,优胜杯;        
  1511  sweeping                1        0   n. 扫除,废屑;a. 一扫而去的,凶猛的,广泛的;vbl. 扫除,打 
  1512  perfectly               1        0   ad. 完全地,无瑕疵地,完整地;    
  1513  dispersed               1        0   a. 被驱散的,被分散的,散布的;    
  1514  proving                 1        0                        
  1515  accident                1        0   n. 意外事件,机运;          
  1516  pop                     1        0   n. 取出,砰然声,流行乐曲;a. 流行的,热门的,通俗的;v. 取出 
  1517  juegos                  1        0                        
  1518  tear                    1        0   n. 泪滴,撕;v. 流泪,撕破,赶快; 
  1519  reported                1        0                        
  1520  beating                 1        0   n. 打,挫败,搏动;          
  1521  shells                  1        0                        
  1522  replaces                1        0                        
  1523  lottery                 1        0   n. 奖卷,彩票,运气;         
  1524  team                    1        0   n. 队,组;a. 队的,团体的;v. 联成一组; 
  1525  back-swept              1        0                        
  1526  erosions                1        0                        
  1527  claw                    1        0   n. 爪,钩,抓伤;v. 用爪抓,搔,搜刮; 
  1528  standing                1        0   n. 起立,持续,身份;a. 立著的,不动的,经常的;vbl. 站立, 
  1529  prayer                  1        0   n. 祈祷,恳求,祈祷者;        
  1530  feelings                1        0   n. 感情                
  1531  southwest               1        0   n. 西南,西南风,西南地区;a. 西南的,来自西南方的;ad. 往西 
  1532  two-thirds              1        0                        
  1533  slapped                 1        0                        
  1534  lie                     1        0   n. 谎言;v. 躺着,说谎,位于;   
  1535  fingernails             1        0                        
  1536  digested                1        0                        
  1537  lip                     1        0   n. 唇,口缘,唇状构造;v. 以嘴唇碰,轻轻说出; 
  1538  dying                   1        0   a. 垂死的;              
  1539  feathers                1        0                        
  1540  continue                1        0   v. 继续,延续,延长;         
  1541  slapping                1        0   a. 出奇地快,巨大的,极好的;ad. 极快地,非常地; 
  1542  tile                    1        0   n. 砖瓦;v. 铺以瓦,铺以瓷砖;   
  1543  cautiously              1        0   ad. 慎重地;             
  1544  pyramid-shaped          1        0                        
  1545  jacket                  1        0   n. 夹克,外套,护套;         
  1546  starlight               1        0   n. 星星的闪光,星光;         
  1547  involved                1        0   a. 有关的               
  1548  chalk                   1        0   n. 粉笔;v. 用粉笔写,记录;    
  1549  inshore                 1        0   a. 近海岸的,向陆的;ad. 近海岸,向陆; 
  1550  stooped                 1        0                        
  1551  harshness               1        0   n. 粗糙的事物,刺耳,严肃;      
  1552  widens                  1        0                        
  1553  off-shore               1        0                        
  1554  unjust                  1        0   a. 不公平的;             
  1555  center                  1        0   n. 中心,中心点,中锋;a. 中央的,位在正中的;v. 集中,关于; 
  1556  start                   1        0   n. 起点;v. 开始,起身,出发;   
  1557  pair                    1        0   n. 双,对,副;v. 使...成对;  
  1558  equal                   1        0   n. 对手,匹敌,同辈;a. 相等的,平等的,胜任的;v. 等于,比得 
  1559  fallen                  1        0   a. 堕落的,落下来的,陷落的;vbl. 跌落,落下,降低; 
  1560  whiplash                1        0   n. 鞭子的顶端,鞭绳;         
  1561  snares                  1        0                        
  1562  treacheries             1        0                        
  1563  rubbery                 1        0   a. 橡胶似的,有弹力的;        
  1564  identified              1        0                        
  1565  panicked                1        0                        
  1566  odour                   1        0   n. 气味                
  1567  lonely                  1        0   a. 孤单的,孤寂的,荒凉的;      
  1568  un-stepped              1        0                        
  1569  having                  1        0                        
  1570  relics                  1        0   崩溃                   
  1571  ambulance               1        0   n. 救护车;              
  1572  be-cause                1        0                        
  1573  kansas                  1        0                        
  1574  nauseate                1        0   v. 作呕,产生恶感,厌恶;       
  1575  scooping                1        0                        
  1576  merits                  1        0                        
  1577  mcgraw                  1        0                        
  1578  barred                  1        0   adj. 被禁止的，闩住的，有条纹的   
  1579  permanent               1        0   a. 永久的,不变的,固定的;      
  1580  barely                  1        0   ad. 几乎不能;            
  1581  garden                  1        0   n. 花园,果园,菜园;v. 栽培花木,造园; 
  1582  travel                  1        0   n. 旅行,游历,进行;v. 旅行;   
  1583  hid                     1        0   v. 藏,隐藏,遮蔽;          
  1584  compact                 1        0   a. 紧凑的,紧密的,简洁的;v. 使装满,使简洁; 
  1585  defeated                1        0                        
  1586  temptations             1        0                        
  1587  squarely                1        0   ad. 方形地,四角地,直角地;     
  1588  papa                    1        0   n. 爸爸;               
  1589  consider                1        0   v. 考虑,思考,认为;         
  1590  drinking                1        0   n. 喝,喝酒;             
  1591  minutes                 1        0   n. 会议记录              
  1592  tree                    1        0   n. 树;n.[计算机] DOS命令:显示驱动器的子目录结构; 
  1593  straighter              1        0                        
  1594  fried                   1        0   adj. 油煎的             
  1595  stays                   1        0                        
  1596  square                  1        0   n. 正方形,街区,平方;a. 正方形的,正直的,公正的;v. 一致, 
  1597  soak                    1        0   n. 浸,湿透,大雨;v. 使上下湿透,浸,吸入; 
  1598  scattering              1        0   n. 散布;vbl. 散布,散落,散播; 
  1599  absolutely              1        0   ad. 完全地,绝对地,正是如此;    
  1600  torrents                1        0   n. 倾注                
  1601  forearm                 1        0   n. 前臂;v. 预先武装,准备;    
  1602  soap                    1        0   n. 肥皂,阿谀;v. 以肥皂洗,阿谀; 
  1603  thrusting               1        0                        
  1604  altitude                1        0   n. 高度,海拔,高处;         
  1605  alternately             1        0   ad. 交替地,隔一个地;        
  1606  water-drop              1        0                        
  1607  mike                    1        0   v. 偷懒,游手好闲;n. 懒惰,游手好闲,扩音器; 
  1608  swum                    1        0                        
  1609  diarrhoea               1        0   n. 腹泻                
  1610  silvery                 1        0   a. 像银的,银色的,银铃一样的;    
  1611  principal               1        0   n. 校长,首长,本金;a. 主要的,重要的,首要的; 
  1612  debut                   1        0   n. 出次登场;             
  1613  sounds                  1        0                        
  1614  radios                  1        0                        
  1615  shuddering              1        0                        
  1616  piles                   1        0                        
  1617  poisonings              1        0                        
  1618  leprous                 1        0   a. 麻疯病的,患麻疯病的,不洁的;   
  1619  crowded                 1        0   a. 拥挤的,塞满的;v. 拥挤,挤满,挤进;vbl. 拥挤,挤满,挤 
  1620  contests                1        0                        
  1621  earn                    1        0   v. 赚得,获得,博得;         
  1622  glad                    1        0   a. 高兴的,喜欢的,情愿的;      
  1623  mushed                  1        0                        
  1624  hurry                   1        0   n. 匆忙,急忙,急促;v. 催促,匆忙,赶快; 
  1625  unbelievably            1        0                        
  1626  account                 1        0   n. 帐目,报告,估计;v. 解释;   
  1627  beasts                  1        0                        
  1628  shouted                 1        0                        
  1629  traitor                 1        0   n. 叛逆者,叛国者;          
  1630  trip                    1        0   n. 旅行,摔倒,差错;v. 跌倒,使...犯错,倾斜; 
  1631  bind                    1        0   v. 绑,约束,装订;          
  1632  dew                     1        0   n. 露珠,露水;v. 用露水沾湿;   
  1633  record                  1        0   n. 记录,报告,唱片;v. 记录,将...录音; 
  1634  beads                   1        0                        
  1635  unrolled                1        0                        
  1636  chicago                 1        0                        
  1637  cuba                    1        0                        
  1638  scaring                 1        0                        
  1639  lacked                  1        0                        
  1640  smiled                  1        0   v. 微笑,以微笑表示;vbl. 微笑,以微笑表示; 
  1641  dose                    1        0   n. 剂量,服用量;v. 配;      
  1642  gaunt                   1        0   a. 憔悴的,荒凉的;          
  1643  kneeled                 1        0                        
  1644  bodies                  1        0                        
  1645  straggler               1        0   n. 游荡者,流浪者,落后者;      
  1646  philadelphia            1        0                        
  1647  dove                    1        0   n. 鸽子;               
  1648  seventy-five            1        0                        
  1649  shovel-nosed            1        0                        
  1650  spare                   1        0   n. 剩余,备用零件,备用轮胎;a. 多余的,备用的,简陋的; 
  1651  mind                    1        0   n. 思想,主意,心意;v. 介意,照顾,留心; 
  1652  despairing              1        0   a. 感到绝望的             
  1653  business                1        0   n. 生意,事情,业务;         
  1654  shoes                   1        0   n. 鞋子;               
  1655  taught                  1        0   v. 教,教授;vbl. 教,教授;   
  1656  meet                    1        0   n. 会,集会;a. 适宜的,合适的;v. 遇见,引见,对付; 
  1657  desert                  1        0   n. 沙漠;v. 放弃,遗弃;      
  1658  eshark                  1        0                        
  1659  abused                  1        0                        
  1660  quarter                 1        0   n. 四分之一,一刻钟;v. 四等分,驻扎,四肢分解; 
  1661  rigor                   1        0   n. 严格,酷烈,严密;         
  1662  malignancy              1        0                        
  1663  emergency               1        0   n. 紧急状况,紧急事件,紧急需要;   
  1664  bulge                   1        0   n. 胀,膨胀;v. 凸出,使...膨胀; 
  1665  gray-white              1        0                        
  1666  shifting                1        0                        
  1667  correctly               1        0   adv. 正确地；恰当地         
  1668  highway                 1        0   n. 公路,大道,直截的途径;      
  1669  stray                   1        0   n. 走失的家畜,浪子;a. 迷途的,偶然的;v. 迷路,彷徨; 
  1670  ashore                  1        0   ad. 向岸地,在岸上地;        
  1671  trough                  1        0   n. 木钵,水槽,马槽;         
  1672  planes                  1        0                        
  1673  feast                   1        0   n. 宴会,酒席,节会;v. 款宴,享乐,请客; 
  1674  vision                  1        0   n. 视觉,先见之明,光景;       
  1675  tackle                  1        0   n. 工具,复滑车,扭倒;v. 处理,抓住; 
  1676  plunging                1        0                        
  1677  stein                   1        0   n. 啤酒壶;              
  1678  training                1        0   n. 训练,练习;vbl. 教育,训练; 
  1679  sawed                   1        0                        
  1680  whore                   1        0   n. 娼妓;               
  1681  states                  1        0                        
  1682  passes                  1        0   n. 途径,通行;v. 经过,消逝,传; 
  1683  load                    1        0   n. 负荷,重担,装载量;v. 装载,装填,担负; 
  1684  nooses                  1        0                        
  1685  bite                    1        0   n. 咬,一口;v. 咬;        
  1686  looped                  1        0                        
  1687  trickle                 1        0   n. 滴,细流;v. 滴流,细细地流;  
  1688  owner                   1        0   n. 拥有者,物主;           
  1689  shoal                   1        0   n. 浅滩,沙洲,潜伏著的危险;a. 浅的,vi成群而游,变成浅滩; 
  1690  midnight                1        0   n. 午夜,子夜,夜半;a. 午夜的,夜半的; 
  1691  pounded                 1        0                        
  1692  holy                    1        0   a. 神圣的,圣洁的,至善的;      
  1693  affects                 1        0                        
  1694  drifting-boats          1        0                        
  1695  grand                   1        0   a. 壮观的,显赫的,神气活现的;    
  1696  travels                 1        0                        
  1697  hole                    1        0   n. 孔,洞,穴;v. 挖洞,掘坑,进洞; 
  1698  iron                    1        0   n. 铁,熨斗;v. 烫;        
  1699  knots                   1        0                        
  1700  explain                 1        0   v. 解释,说明;            
  1701  lunch                   1        0   n. 午餐;               
  1702  exhausted               1        0   a. 精疲力竭的             
  1703  fascinated              1        0                        
  1704  thick                   1        0   a. 厚的,浓的,迟钝的;ad. 厚地,密地,丰富地; 
  1705  balance                 1        0   n. 平衡,差额;v. 平衡;      
  1706  slamming                1        0                        
  1707  kindness                1        0   n. 仁慈,亲切,和蔼;         
  1708  lying                   1        0   n. 说谎;a. 横躺的,说谎的;vbl. 横躺,说谎; 
  1709  heartless               1        0   a. 无情的,无勇气的;         
  1710  bleeds                  1        0                        
  1711  sense                   1        0   n. 侦测,感应,感觉;v. 感觉,了解; 
  1712  cream                   1        0   n. 乳酪,奶油,面霜;         
  1713  loading                 1        0   n. 装入，加载，存放          
  1714  bell                    1        0   n. 铃,钟;              
  1715  detached                1        0   a. 超然的,分离的;v. 分离;vbl. 分离; 
  1716  calmer                  1        0                        
  1717  served                  1        0                        
  1718  sewed                   1        0                        
  1719  longest                 1        0   a. 长的;               
  1720  curve                   1        0   n. 曲线,弯曲,曲球;v. 弯,使...弯曲; 
  1721  unpleasant              1        0   a. 不愉快的,使人厌恶的,煞风景的;  
  1722  painted                 1        0   a. 描画的,著色的,刷上油漆的;v. 画,油漆;vbl. 画,油漆; 
  1723  condensed               1        0   v. 浓缩;vbl. 浓缩;       
  1724  diver                   1        0   n. 潜水者;              
  1725  summer                  1        0   n. 夏季;               
  1726  broadside               1        0   n. 『航海』 (水线上的) 舷侧    
  1727  mad                     1        0   a. 疯狂的,生气的,愚蠢的;      
  1728  banded                  1        0                        
  1729  known                   1        0   a. 已知的,有名的;vbl. 知道;  
  1730  men-of-war              1        0                        
  1731  stand                   1        0   n. 站立,停顿,楼台;v. 站立,忍受,位在; 
  1732  twenty                  1        0   a. 二十,20,20;         
  1733  juncture                1        0   n. 接合,连接,接缝;         
  1734  maw                     1        0   n. 反刍动物的第四胃,嗉囊,人的胃;  
  1735  max                     1        0                        
  1736  within                  1        0   n. 内部,里头;ad. 在内部,在内心里;prep. 在...之内; 
  1737  bent                    1        0   a. 弯曲的;v. 弯曲;vbl. 弯曲; 
  1738  subdue                  1        0   v. 使服从,压制,减弱;        
  1739  shone                   1        0   shine 的过去式(分词)       
  1740  swallows                1        0                        
  1741  main                    1        0   n. 主要部份,干线;a. 主要的,重要的; 
  1742  serve                   1        0   v. 可作...用,服务,对待;     
  1743  bumped                  1        0                        
  1744  unrolling               1        0                        
  1745  confused                1        0   a. 困惑的,烦恼的;v. 混乱,狼狈,困惑;vbl. 混乱,狼狈,困 
  1746  credit                  1        0   n. 信用,荣誉,贷款;v. 归功于,赞颂,信任; 
  1747  upward                  1        0   a. 向上的;ad. 以上;       
  1748  phosphorus              1        0   n. 磷;                
  1749  capes                   1        0                        
  1750  cheerfully              1        0   ad. 高高兴兴地;           
  1751  bearing                 1        0   n. 举止;               
  1752  unavoidable             1        0   a. 不可避免的,不得已的,不能作废的; 
  1753  streak                  1        0   n. 条理,斑纹,倾向;v. 加条纹,变成条纹; 
  1754  seriously               1        0   ad. 严肃; 严重, 重大       
  1755  fill                    1        0   v. 装满,填充,弥漫;         
  1756  falsest                 1        0                        
  1757  experiences             1        0                        
  1758  becomes                 1        0                        
  1759  forget                  1        0   v. 忘记,忽略;            
  1760  horn                    1        0   n. 角,角质,喇叭;a. 角制的;v. 用角触,长角,干涉; 
  1761  directions              1        0                        
  1762  compass                 1        0   n. 指南针,周围,境界;v. 包围,达成,企图; 
  1763  lists                   1        0                        
  1764  background              1        0   n. 背景;               
  1765  loggerheads             1        0                        
  1766  heaviness               1        0   n. 重；重量              
  1767  sore                    1        0   a. 一碰就痛的,悲伤的,给予痛苦的;  
  1768  position                1        0   n. 位置,职位,状态;v. 安置,决定...的位置; 
  1769  problems                1        0                        
  1770  plowed                  1        0                        
  1771  mako                    1        0                        
  1772  ball                    1        0   n. 球,舞会;             
  1773  napkin                  1        0   n. 餐巾,餐巾纸,尿布;        
  1774  mysticism               1        0   n. 神秘,神秘教,神秘论;       
  1775  wicked                  1        0   a. 坏的,邪恶的,缺德的;       
  1776  bullfighting            1        0                        
  1777  certainly               1        0   ad. 确定地;             
  1778  submerged               1        0                        
  1779  immune                  1        0   a. 免疫的;              
  1780  thumped                 1        0                        
  1781  unintelligent           1        0                        
  1782  masculine               1        0   n. 阳性,男性;a. 男性的,阳性的,有丈夫气的; 
  1783  bake                    1        0   v. 烘焙,烤;             
  1784  writer                  1        0   n. 作家;               
  1785  splashed                1        0                        
  1786  annoy                   1        0   v. 使...苦恼,骚扰;        
  1787  feared                  1        0                        
  1788  untied                  1        0                        
  1789  hand-forged             1        0                        
  1790  unknotting              1        0                        
  1791  sorrow                  1        0   n. 悲伤,哀惜,不幸;v. 悲伤,悲叹; 
  1792  cure                    1        0   n. 治疗,治愈,治疗法;v. 治疗,治愈,改正; 
  1793  trees                   1        0                        
  1794  crash                   1        0   n. 轰隆声,猛撞,崩溃;v. 撞碎,猛使...破碎,迫降; 
  1795  bank                    1        0   n. 银行,堤,岸;           
  1796  procession              1        0   n. 队伍,进行行列,游行;       
  1797  meaning                 1        0   n. 意义,目的;vbl. 意谓;    
  1798  drawing                 1        0   n. 图画,制图,拉;vbl. 画,拉,牵引; 
  1799  fire                    1        0   n. 火,火灾,射击;v. 点燃,解职,开枪; 
  1800  greener                 1        0                        
  1801  runner                  1        0   n. 跑步者,赛跑者,信差;       
  1802  particles               1        0                        
  1803  solidity                1        0   n. 固体性,坚硬,不是中空;      
  1804  sleeps                  1        0                        
  1805  spray                   1        0   n. 水沫,喷雾器;v. 喷雾,扫射,喷射; 
  1806  quality                 1        0   n. 品质,特质,才能;         
  1807  pointed                 1        0   a. 尖的,锐利的,率直的;v. 指出,指,瞄准;vbl. 指出,指, 
  1808  highest                 1        0   a. 最高的               
  1809  religious               1        0   a. 宗教性的,虔诚的,宗教上的;    
  1810  examine                 1        0   v. 检查,调查,考试;         
  1811  wiping                  1        0   vbl. 擦拭;             
  1812  illinois                1        0                        
  1813  bananas                 1        0                        
  1814  fist                    1        0   n. 拳头,手;             
  1815  stringiness             1        0                        
  1816  pebbled                 1        0                        
  1817  love-making             1        0                        
  1818  womb                    1        0   n. 子宫,肚子;            
  1819  tireder                 1        0                        
  1820  all-swallowing          1        0                        
  1821  holes                   1        0                        
  1822  destruction             1        0   n. 破坏,毁减;            
  1823  ought                   1        0   conj. 应该,大概;         
  1824  warbler                 1        0   n. 啭鸟,鸣鸟,用颤音歌唱的人;    
  1825  bother                  1        0   v. 烦扰;               
  1826  star                    1        0   n. 星,运气,演员;v. 以星状物装饰,变成演员; 
  1827  actually                1        0   ad. 事实上,如今,现在;       
  1828  definitely              1        0   ad. 明确地; 绝对          
  1829  increasing              1        0   vbl. 增加;             
  1830  creases                 1        0                        
  1831  progress                1        0   n. 进步,发展,前进;v. 促进,进步,进行; 
  1832  respected               1        0                        
  1833  intolerable             1        0   a. 无法忍受的,难耐的;        
  1834  calambre                1        0                        
  1835  cleanly                 1        0   a. 爱清洁的,干净的,清洁的;ad. 干净,清洁,清白; 
  1836  seven                   1        0   a. 七;                
  1837  undulation              1        0   n. 波动,弯曲,起伏;         
  1838  nakedness               1        0   n. 裸,显明,赤裸裸;         
  1839  wrinkles                1        0                        
  1840  leaves                  1        0   n. 树叶,花瓣;v. 离开,出发,留下; 
  1841  sever                   1        0   v. 切断,脱离,分开;         
  1842  armour-plating          1        0                        
  1843  tavern                  1        0   n. 酒馆,客栈;            
  1844  ruin                    1        0   n. 毁减,推翻,废墟;v. 毁减,衰败,破坏; 
  1845  dropping                1        0   n. 点滴,滴下,落下;         
  1846  norther                 1        0                        
  1847  cooked                  1        0                        
  1848  nausea                  1        0   n. 反胃,晕船,极度的不快;      
  1849  luque                   1        0                        
  1850  judging                 1        0                        
  1851  staring                 1        0   a. 凝视的,瞪著眼的,显眼的;     
  1852  qua                     1        0                        
  1853  sighing                 1        0                        
  1854  farewell                1        0   n. 辞别,再见,再会;int. 再会; 
  1855  que                     1        0                        
  1856  lord                    1        0   n. 统治者,阁下,上帝;v. 统治,作威作福,使...成贵族; 
  1857  sluggishly              1        0   ad. 懒怠地；缓慢地          
  1858  mass                    1        0   n. 块,大多数,质量;a. 群众的,大规模的;v. 使...集合; 
  1859  bitten                  1        0   vbl. 咬;              
  1860  beast                   1        0   n. 畜牲;               
  1861  rebelled                1        0   v. 反叛,造反;vbl. 反叛,造反; 
  1862  ceding                  1        0                        
  1863  admit                   1        0   v. 允许进入,承认;          
  1864  wants                   1        0                        
  1865  sleepy                  1        0   a. 困乏的,欲睡的;          
  1866  canary                  1        0   n. 金丝雀,淡黄色;          
